name,latitude,longitude,empty_slots,free_bikes
Howard St / Rose Ave,43.671278,-79.372127,9,9
Little Norway Park,43.635023,-79.399505,0,20
Isabella St / Church St,43.66834,-79.38235,10,9
University Ave / Armoury St,43.65263,-79.38766,20,1
Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,11,8
Polson Pier,43.641675,-79.354006,22,0
Dentonia Park,43.694341,-79.291416,13,7
Lower Jarvis St / Queens Quay E,43.64422,-79.36927,1,16
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,9,1
Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,1,19
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,0,18
Ellis Ave / The Queensway,43.63855,-79.46693,0,17
High Park - Grenadier Cafe,43.645599,-79.4657123,1,8
Winona Dr / Davenport Rd,43.674923,-79.430465,7,4
Danforth Ave / Aldridge Ave,43.684758,-79.316767,6,5
Dundonald St / Church St,43.66663,-79.38148,5,31
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,14,4
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,3,30
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,4,13
Bremner Blvd / Rees St,43.641529,-79.386741,19,1
King St W / Crawford St,43.6417852,-79.4131148,0,23
Yonge St / Dundas Sq,43.655766,-79.3802,14,10
St Clair Ave W / Winona Dr,43.680466,-79.432522,6,5
Bay St / Wellesley St W,43.664088,-79.387095,38,12
Humberside Grounds - SMART,43.65917,-79.46997,11,8
Bloor St E / Huntley St - SMART,43.671535,-79.379173,10,6
Wellington St W / York St,43.646734,-79.38301,22,1
Dalton Rd / Bloor St W,43.6662942,-79.4066433,14,1
Davenport Rd / Christie St,43.675278,-79.423889,24,3
King St W / Jordan St,43.648928,-79.378623,9,1
George St / King St E,43.6509552,-79.3707,0,14
E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,26,0
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,17,9
King St W / Charlotte St,43.645572,-79.39399,8,14
Jarvis St / Richmond St E,43.652777,-79.372637,10,9
Symington Ave / Dupont St,43.665538,-79.451263,9,6
King St E / Jarvis St,43.650325,-79.372287,14,9
Bay St / Bloor St W (East Side),43.66943,-79.38915,14,0
Bay St / Bloor St W (West Side),43.669244,-79.3894,18,0
Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,15,0
Dundas St E / George St,43.6574766,-79.373446,17,7
Fleet St / Bathurst St,43.636611,-79.400042,0,19
Tecumseth St / Queen St W - SMART,43.646552,-79.406468,4,5
Wellington St W / Bay St,43.647259,-79.379878,26,0
Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,16,0
King St E / Church St,43.65003919999999,-79.3733541,12,3
Bay St / Albert St,43.653264,-79.382458,29,5
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,16,1
Bay St / College St (East Side),43.660439,-79.385525,5,11
University Ave / College St (West),43.659226,-79.390213,11,0
University Ave / College St (East),43.65995,-79.38964,14,0
Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,11,1
Bay St / College St (West Side) - SMART,43.660087,-79.385655,7,5
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,0,16
Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,2,24
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,2,22
Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,0,22
St Clarens Ave / Shirley St,43.6486599,-79.4376413,1,12
Lisgar Park,43.6423847,-79.4240277,1,22
Bartlett Parkette,43.6702236,-79.4360232,11,10
Sherbourne St N / Elm Ave,43.6752732,-79.3778458,19,2
Walnut Ave / Queen St W,43.645469,-79.411084,1,12
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,19,0
Palmerston Ave / Dundas St W,43.651603,-79.408346,9,13
541 Huron St - SMART,43.670206,-79.402643,15,3
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,6,8
Baldwin St / Henry St,43.6560758,-79.393259,1,13
Orde St / McCaul St,43.6580442,-79.3927404,15,0
Ross St / Cecil St - SMART,43.6568254,-79.3966159,2,16
Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,3,14
Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,0,19
