name,latitude,longitude,empty_slots,free_bikes
Queen St E / Pape Ave - SMART,43.661673,-79.337789,6,9
Gerrard St E / Broadview - SMART,43.665656,-79.352055,1,17
Humber Bay Shores Park East,43.6308933,-79.4722622,0,21
Humber Bay Shores Park West,43.6224434,-79.480284,0,27
Taddle Creek Park,43.66986,-79.398443,7,7
Thompson St / Broadview Ave - SMART,43.659471,-79.350325,2,9
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,14,4
Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,0,15
King St W / Cowan Ave - SMART,43.637922,-79.431734,1,15
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,2,16
Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,2,14
Bloor St W / Manning Ave - SMART,43.663912,-79.416124,16,1
Simcoe St / Wellington St W South,43.6458569,-79.3853654,24,2
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,2,14
Berkeley St / Dundas St E - SMART,43.658816,-79.367318,4,14
128 Sterling Rd - SMART,43.654004,-79.444792,16,4
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,12,6
Sackville St / Eastern Ave - SMART,43.653809,-79.3595,1,11
Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,4,8
Sumach St  / Queen St E,43.656638,-79.358749,8,8
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,10,5
Gerrard St E / Main St,43.684261,-79.299332,13,8
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,11,1
Neil McLellan Park,43.65143,-79.47779,12,1
Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,5,10
Antler St / Campbell Ave - SMART,43.664182,-79.449066,15,5
Clarence Square,43.64407,-79.3929,1,21
Lake Shore Blvd W / Louisa St,43.61868,-79.48674,0,14
Front St W / Simcoe St,43.6442,-79.38702,14,5
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,6,5
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,16,2
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,18,0
Church St / Lombard St,43.651678,-79.375233,12,4
Richmond St E / Yonge St,43.651838,-79.378743,15,1
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,20,2
Pottery Rd / Lower Don River Trail,43.688148,-79.362101,2,13
Bleecker St / St James Ave,43.669232,-79.374495,2,18
Western Battery Rd / Pirandello St,43.640075,-79.414156,2,26
Carlaw Ave / Danforth Ave,43.678285,-79.347346,12,3
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,7,7
Goodwood Park Crt / Dentonia Park,43.694826,-79.295208,10,9
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,11,7
Trent Ave / Danforth Ave,43.689293,-79.295895,18,5
Orchard Park,43.66908,-79.3149,6,13
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,4,16
Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,27,0
Concord Ave / Bloor St W,43.66189,-79.42679,10,4
Gothic Ave / Quebec Ave,43.65389,-79.4675,10,9
Via Italia / Mackay Ave,43.676697,-79.445029,15,2
Rushton Rd / St Clair Ave W,43.68114,-79.4277,9,0
Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,7,9
Gerrard St E / Leslie St,43.669813,-79.3335,6,16
Marilyn Bell Park Tennis Court,43.633537,-79.437461,13,12
The Queensway at South Kingsway,43.63632,-79.47307,1,21
Merton St / Mount Pleasant Rd,43.697819,-79.38786,18,5
Tyndall Ave / King St W - SMART,43.638426,-79.429142,2,14
College Park - Yonge St Entrance,43.65988,-79.38279,15,7
Barton Ave / Howland Ave - SMART,43.66842,-79.410585,13,4
Keele St / Annette St,43.66402,-79.46418,8,6
Keele St / Vine Ave,43.66686,-79.46526,1,10
Howard St / Rose Ave,43.671278,-79.372127,1,17
Little Norway Park,43.635023,-79.399505,0,22
Isabella St / Church St,43.66834,-79.38235,8,11
University Ave / Armoury St,43.65263,-79.38766,10,11
Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,17,2
Polson Pier,43.641675,-79.354006,22,0
Dentonia Park,43.694341,-79.291416,13,9
Lower Jarvis / Queens Quay E,43.64422,-79.36927,0,17
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,9,1
Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,12,13
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,1,15
Ellis Ave / The Queensway,43.63855,-79.46693,0,18
High Park - Grenadier Cafe,43.645599,-79.4657123,6,3
Winona Dr / Davenport Rd,43.674923,-79.430465,10,1
Danforth Ave / Aldridge Ave,43.684758,-79.316767,7,4
Dundonald St / Church St,43.66663,-79.38148,13,22
Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,15,4
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,0,33
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,11,6
Bremner Blvd / Rees St,43.641529,-79.386741,22,0
King St W / Crawford St,43.6417852,-79.4131148,0,22
Yonge St / Dundas Sq,43.655766,-79.3802,16,9
St Clair Ave W / Winona Dr,43.680466,-79.432522,6,5
Bay St / Wellesley St W,43.664088,-79.387095,20,29
Humberside Grounds - SMART,43.65917,-79.46997,13,6
Bloor St E / Huntley St - SMART,43.671535,-79.379173,7,5
Wellington St W / York St,43.646734,-79.38301,23,0
Dalton Rd / Bloor St W,43.6662942,-79.4066433,1,11
Davenport Rd / Christie St,43.675278,-79.423889,17,10
King St W / Jordan St,43.648928,-79.378623,10,0
George St / King St E,43.6509552,-79.3707,0,15
E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,26,1
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,25,2
King St W / Charlotte St,43.645572,-79.39399,4,16
Jarvis St / Richmond St E,43.652777,-79.372637,15,3
Symington Ave / Dupont St,43.665538,-79.451263,9,4
King St E / Jarvis St,43.650325,-79.372287,22,2
Bay St / Bloor St W (East Side),43.66943,-79.38915,6,7
Bay St / Bloor St W (West Side),43.669244,-79.3894,6,12
Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,13,1
Dundas St E / George St,43.6574766,-79.373446,11,13
Fleet St / Bathurst St,43.636611,-79.400042,0,22
Tecumseth St / Queen St W - SMART,43.646552,-79.406468,2,7
Wellington St W / Bay St,43.647259,-79.379878,25,0
Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,14,2
King St E / Church St,43.65003919999999,-79.3733541,11,3
Bay St / Albert St,43.653264,-79.382458,33,1
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,12,6
Bay St / College St (East Side),43.660439,-79.385525,2,16
University Ave / College St (West),43.659226,-79.390213,11,0
University Ave / College St (East),43.65995,-79.38964,14,0
Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,10,2
